page_url,property_type,price,location,locality,baths,area_marla,purpose,bedrooms
https://www.zameen.com/Property/lahore_paragon_city_near_dha_4_marla_corner_designers_house_near_park_main_road_gated_community_86_lac-15955483-1014-1.html,House,8600000,Paragon City,"Paragon City, Lahore, Punjab",4,4.0,For Sale,3
https://www.zameen.com/Property/rawalpindi_askari_10_house_is_available_for_sale-17205221-1516-1.html,House,27000000,Askari 10,"Askari 10, Rawalpindi, Punjab",0,10.0,For Sale,0
https://www.zameen.com/Property/islamabad_f_6_f_6_brand_new_house_for_rent-15261527-164-4.html,House,225000,F-6,"F-6, Islamabad, Islamabad Capital",5,20.0,For Rent,4
https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_c_portion_is_available_for_rent-16787107-3198-4.html,Lower Portion,57000,DHA Defence,"DHA Defence, Islamabad, Islamabad Capital",0,20.0,For Rent,0
https://www.zameen.com/Property/islamabad_g_14_3570_brand_new_double_story_house_for_rent_in_g14_islamabad-16962581-454-4.html,House,85000,G-14,"G-14, Islamabad, Islamabad Capital",8,10.0,For Rent,7
https://www.zameen.com/Property/g_15_g_15_2_40x80_triple_storey_house_for_sale-13877440-3349-1.html,House,30000000,G-15,"G-15, Islamabad, Islamabad Capital",5,15.0,For Sale,5
https://www.zameen.com/Property/lahore_johar_town_studio_flat_for_sale_h3_block_near_emporium_mall_johar_town_lhr-17447486-93-1.html,Flat,2200000,Johar Town,"Johar Town, Lahore, Punjab",1,1.6,For Sale,1
https://www.zameen.com/Property/g_9_g_9_3_40x80_brand_new_ground_portion-14037298-3386-4.html,Lower Portion,70000,G-9,"G-9, Islamabad, Islamabad Capital",3,12.0,For Rent,3
https://www.zameen.com/Property/rawalpindi_gulraiz_housing_scheme_the_best_portion_for_living_purpose-17309507-438-4.html,Upper Portion,31000,Gulraiz Housing Scheme,"Gulraiz Housing Scheme, Rawalpindi, Punjab",2,7.0,For Rent,2
https://www.zameen.com/Property/bahria_town_sector_d_bahria_town_block_bb_5_marla_brand_new_house_for_sale_in_bb_block_sector_d_bahria_town_lahore-17069600-1798-1.html,House,11000000,Bahria Town,"Bahria Town, Lahore, Punjab",5,5.0,For Sale,3
https://www.zameen.com/Property/jamshed_town_pechs_ground_plus_1_town_house_for_rent-12371039-403-4.html,House,130000,Jamshed Town,"Jamshed Town, Karachi, Sindh",5,10.0,For Rent,5
https://www.zameen.com/Property/karachi_muslimabad_society_town_house_available_for_sale_at_muslimabad_society-12793167-12425-1.html,House,65000000,Muslimabad Society,"Muslimabad Society, Karachi, Sindh",6,9.5,For Sale,5
https://www.zameen.com/Property/eden_eden_city_brand_new_house_is_available_for_sale_near_to_park-17430449-409-1.html,House,24500000,Eden,"Eden, Lahore, Punjab",0,10.0,For Sale,4
https://www.zameen.com/Property/china_scheme_china_scheme_block_a1_10_marla_double_storey_with_two_shops_house_for_sale-13450309-4586-1.html,House,14000000,China Scheme,"China Scheme, Lahore, Punjab",5,10.0,For Sale,4
https://www.zameen.com/Property/islamabad_d_12_apartment_for_sale-10524867-160-1.html,Flat,4500000,D-12,"D-12, Islamabad, Islamabad Capital",0,4.0,For Sale,1
https://www.zameen.com/Property/lahore_sant_nagar_house_is_available_for_sale_at_prime_location-17163344-4537-1.html,House,4000000,Sant Nagar,"Sant Nagar, Lahore, Punjab",0,2.0,For Sale,3
https://www.zameen.com/Property/lahore_baghbanpura_5_marla_house_for_sale-12219470-1057-1.html,House,7000000,Baghbanpura,"Baghbanpura, Lahore, Punjab",3,5.0,For Sale,0
https://www.zameen.com/Property/dha_defence_dha_phase_6_out_standing_designed_10_marla_bungalow_is_for_sale-15777045-1448-1.html,House,30000000,DHA Defence,"DHA Defence, Lahore, Punjab",5,10.0,For Sale,4
https://www.zameen.com/Property/eden_eden_city_brand_new_corner_house_is_available_for_sale-16912173-409-1.html,House,35000000,Eden,"Eden, Lahore, Punjab",0,10.0,For Sale,4
https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_neelam_block_2nd_floor_flat_is_available_for_rent-17408650-3529-4.html,Flat,15000,Allama Iqbal Town,"Allama Iqbal Town, Lahore, Punjab",0,4.0,For Rent,2
https://www.zameen.com/Property/satellite_town_block_d_satellite_town_6th_road_portion_is_available_for_rent-16470927-8409-4.html,Lower Portion,30000,Satellite Town,"Satellite Town, Rawalpindi, Punjab",2,6.0,For Rent,2
https://www.zameen.com/Property/islamabad_g_13_25x40_upper_portion_for_rent_n_g13_islamabad-17334753-330-4.html,Upper Portion,25000,G-13,"G-13, Islamabad, Islamabad Capital",2,4.4,For Rent,2
